"UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","YEAR","MONTH","DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","SEATS","PASSENGERS","MONTHNAME","DATE","MONTHLY_NET_INCOME","MONTHLY_OP_PROFIT_LOSS","MONTHLY_OP_REVENUES","MONTHLY_OP_EXPENSES","SEAT_UTILIZATION"
"AA","American Airlines Inc.",2017,11,69794,69726,11025530,9531342,"Nov",2017-11-01,160144.811666667,336007.185,3516276.35666667,3180269.17333333,86.45
"AA","American Airlines Inc.",2017,3,78315,77094,12206904,10300257,"Mar",2017-03-01,160144.811666667,336007.185,3516276.35666667,3180269.17333333,84.38
"AA","American Airlines Inc.",2017,10,75909,75654,11905130,10256893,"Oct",2017-10-01,160144.811666667,336007.185,3516276.35666667,3180269.17333333,86.16
"AC","Air Canada",2017,4,0,15,1208,789,"Apr",2017-04-01,NA,NA,NA,NA,65.31
"AC","Air Canada",2017,5,0,4,271,218,"May",2017-05-01,NA,NA,NA,NA,80.44
"AC","Air Canada",2017,6,0,4,320,285,"Jun",2017-06-01,NA,NA,NA,NA,89.06
"AC","Air Canada",2017,7,0,3,262,251,"Jul",2017-07-01,NA,NA,NA,NA,95.8
"AC","Air Canada",2017,8,0,4,310,299,"Aug",2017-08-01,NA,NA,NA,NA,96.45
"AC","Air Canada",2017,9,0,12,1339,1033,"Sep",2017-09-01,NA,NA,NA,NA,77.15
"AC","Air Canada",2017,10,0,22,1578,1306,"Oct",2017-10-01,NA,NA,NA,NA,82.76
"AC","Air Canada",2017,11,0,34,2686,1971,"Nov",2017-11-01,NA,NA,NA,NA,73.38
"AC","Air Canada",2017,12,0,22,1500,1000,"Dec",2017-12-01,NA,NA,NA,NA,66.67
"AC","Air Canada",2017,3,0,18,1044,834,"Mar",2017-03-01,NA,NA,NA,NA,79.89
"AC","Air Canada",2017,1,0,23,1699,1239,"Jan",2017-01-01,NA,NA,NA,NA,72.93
