Year - Month,Carrier,Departures,Miles,Seats,Passengers,Seat Utilization,Payload (lbs),Freight (lbs),Mail (lbs)
2017-01,ABX Air Inc (Domestic),984,"1,193,829",0,0,-,"195,997,680","55,069,110",0
2017-01,ACM AIR CHARTER GmbH (International),5,"12,610",50,4,8%,"12,100",0,0
2017-01,Acropolis Aviation Ltd. (International),2,"6,008",38,10,26%,"52,800",0,0
2017-01,Aer Lingus Plc (International),536,"1,879,290","141,588","102,050",72%,"44,759,148","3,272,789",0
2017-01,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,220,"69,614","11,000","4,977",45%,"2,546,777",0,0
2017-01,"Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus",50,"27,552","9,000","6,122",68%,"1,800,020",0,0
2017-01,Aeroflot Russian Airlines (International),236,"1,236,858","70,196","58,666",84%,"19,237,020","1,403,221",0
2017-01,Aerolineas Argentinas (International),203,"948,730","55,365","45,712",83%,"16,513,156","2,844,679",0
2017-01,Aerolitoral (International),753,"582,610","66,419","47,381",71%,"16,956,377","15,125",0
2017-01,AeroLogic GmbH (International),50,"216,512",0,0,-,"11,604,891","8,091,630",0
2017-01,Aeromexico (International),"2,092","3,373,021","341,228","262,481",77%,"88,278,725","3,171,401",0
2017-01,Aerotransportes Mas De Crga (International),62,"86,588",0,0,-,"7,747,520","5,381,556",0
2017-01,Aerounion Aerotransporte de Carga Union SA de CV (Inter,145,"196,895",0,0,-,"14,036,000","9,663,506",0
2017-01,Aerovias de Intergracian Regional (International),44,"66,264","8,424","7,672",91%,"2,560,800","230,113",0
2017-01,Aerovias Nacl De Colombia (International),920,"1,620,757","147,652","127,283",86%,"52,028,460","3,081,583",0
2017-01,Air Alsie A/S (International),16,"51,763",182,31,17%,"36,439",0,0
2017-01,Air Atlanta Icelandic (International),24,"121,544",0,0,-,"6,070,958","3,497,780",0
2017-01,Air Berlin PLC and CO (International),326,"1,466,172","93,520","70,842",76%,"32,930,148","4,441,802",0
2017-01,AirBridgeCargo Airlines Limited (International),362,"1,270,814",0,0,-,"105,354,481","35,273,535",0
2017-01,Air Busan (International),35,"62,720","6,825","5,111",75%,"1,593,746",0,0
2017-01,Air Canada (International),"3,376","3,850,262","449,947","343,765",76%,"121,617,810","2,059,331",0
2017-01,Air Canada rouge LP (International),"2,115","3,088,965","445,150","354,309",80%,"126,882,896","939,974",0
2017-01,"Air Charter, Inc d/b/a Air Flamenco (Domestic)","1,304","45,542","26,050","7,127",27%,"6,695,000","163,263","83,599"
2017-01,Air China (International),"1,136","6,863,520","284,274","241,673",85%,"128,302,128","55,068,247",0
2017-01,Air Europa (International),107,"420,848","30,838","22,583",73%,"14,471,360","561,757",0
2017-01,Air Excursions LLC (Domestic),84,"3,400",444,150,34%,"104,338","5,709","6,737"
2017-01,Air Georgian (International),"2,988","1,140,120","130,136","71,824",55%,"31,183,335",0,0
2017-01,Air Japan Co (International),62,"236,778","12,524","10,653",85%,"4,185,570","588,496",0
2017-01,Air New Zealand (International),352,"2,195,042","114,198","95,259",83%,"49,794,507","2,629,919",0
2017-01,Air Pacific Ltd. (International),108,"506,036","26,150","20,646",79%,"8,324,646","808,924",0
2017-01,"Air Philippines Corp d/b/a Airphil Express, Philippines",17,"28,084","2,652",908,34%,"647,385",238,0
2017-01,Air Serbia (International),29,"126,343","7,112","5,221",73%,"1,387,204","341,960",0
2017-01,Air Sunshine Inc. (Domestic),248,"20,398","2,232",660,30%,"412,000",0,0
2017-01,Air Tahiti Nui (International),110,"499,275","32,340","24,926",77%,"8,712,000","1,405,911",0
2017-01,Air Transat (International),126,"164,522","24,372","19,260",79%,"5,781,600",0,0
2017-01,Air Transport International (Domestic),822,"1,045,776",0,0,-,"141,921,610","38,524,904",0
2017-01,Air Wisconsin Airlines Corp (Domestic),"9,163","3,612,545","458,150","321,212",70%,"112,155,120","46,079","2,986"
2017-01,Alaska Airlines Inc. (Domestic),"14,893","18,434,056","2,366,867","1,789,363",76%,"621,923,957","6,999,116","3,920,407"
2017-01,Alaska Airlines Inc. (Latin America),"1,222","1,832,894","206,602","161,357",78%,"52,667,674","121,993",0
2017-01,Alaska Central Express (Domestic),804,"241,558",864,519,60%,"4,456,116","678,060","1,030,398"
2017-01,Albinati Aeronautics SA (International),6,"22,489",70,26,37%,"32,984",0,0
2017-01,Alia-(The) Royal Jordanian (International),97,"518,402","25,175","17,225",68%,"8,573,400","562,155",0
2017-01,Allegiant Air (Domestic),"6,554","5,977,383","1,096,216","868,737",79%,"494,865,400",0,0
2017-01,All Nippon Airways Co. (International),807,"4,541,128","191,687","149,459",78%,"82,507,621","26,099,343",0
2017-01,Aloha Air Cargo (Domestic),817,"118,492",0,0,-,"28,595,000","6,138,359","2,743,080"
2017-01,American Airlines Inc. (Atlantic),"2,025","8,417,277","505,092","368,168",73%,"207,203,900","35,095,641","1,819,214"
2017-01,American Airlines Inc. (Domestic),"72,984","74,198,780","11,511,525","8,996,634",78%,"3,145,450,940","20,690,351","17,395,656"
2017-01,American Airlines Inc. (Latin America),"12,256","17,857,855","2,031,005","1,567,042",77%,"581,024,660","19,330,276","1,326,040"
2017-01,American Airlines Inc. (Pacific),875,"5,877,744","228,815","190,000",83%,"89,605,000","11,602,666","1,342,829"
2017-01,Amerijet International (Domestic),53,"55,385",0,0,-,"5,663,000","3,798,187","5,036"
2017-01,Amerijet International (Latin America),276,"285,084",0,0,-,"28,147,893","18,909,679","118,056"
2017-01,Ameristar Air Cargo (Domestic),95,"55,974","3,321","1,383",42%,"2,431,414","148,227",0
2017-01,Ameristar Air Cargo (International),18,"9,422",0,0,-,"384,174","54,910",0
2017-01,Antonov Company (International),1,"2,680",0,0,-,"264,000","94,107",0
2017-01,Arctic Transportation (Domestic),949,"84,564",751,69,9%,"3,760,082","569,260","829,845"
2017-01,Asiana Airlines Inc. (International),974,"3,783,762","176,779","152,768",86%,"121,418,460","32,592,232",0
2017-01,Asia Pacific (International),54,"105,237",0,0,-,"2,512,006","770,562","400,758"
2017-01,Atlas Air Inc. (Domestic),696,"882,741","6,482","1,924",30%,"163,215,145","60,946,330",0
2017-01,Atlas Air Inc. (International),606,"1,911,467","10,114","2,569",25%,"159,212,523","92,819,227",0
2017-01,Austrian Airlines (International),184,"847,332","42,966","31,824",74%,"22,545,394","1,856,859",0
2017-01,"Avior Airlines, C.A. (International)",106,"157,516","18,926","13,375",71%,"2,677,675",0,0
2017-01,Avjet Corporation (Domestic),163,"138,323","1,480",459,31%,"485,880",0,0
2017-01,Azerbaijan Airlines CJSC (International),24,"139,944","5,040","3,058",61%,"2,057,250","195,969",0
2017-01,Azul Linhas Aereas Brazileiras S A (International),171,"699,437","43,617","42,274",97%,"16,531,793","4,406,304",0
2017-01,Bahamasair Holding Limited (International),513,"98,572","53,240","27,259",51%,"13,319,137",0,0
2017-01,Bemidji Airlines (Domestic),52,"7,761",16,0,0%,"141,000","35,502",0
2017-01,Bering Air Inc. (Domestic),"2,462","215,167","21,943","8,321",38%,"8,396,050","178,177","699,687"
2017-01,Blue Jet SP Z o o (International),5,"19,032",42,23,55%,"17,067",0,0
2017-01,Boutique Air (Domestic),"2,584","565,744","20,672","12,839",62%,"4,226,000",0,0
2017-01,Bradley Air Services Ltd. (International),2,"2,274",312,282,90%,"62,400",0,0
2017-01,British Airways Plc (International),"2,417","10,163,133","688,382","519,201",75%,"231,721,574","36,509,423",0
2017-01,Brussels Airlines N.V. (International),52,"190,684","14,675","9,960",68%,"4,863,636","1,052,425",0
2017-01,C.A.L Cargo Airlines (International),36,"178,448",0,0,-,"9,345,600","2,683,159",0
2017-01,Cape Air (Domestic),"8,245","853,809","85,835","45,680",53%,"25,604,289",0,"55,920"
2017-01,Cargojet Airways Ltd. (International),159,"162,091",0,0,-,"12,777,411","4,616,511",0
2017-01,Cargolux Airlines International S.A (International),276,"1,470,184",0,0,-,"66,792,000","41,874,997",0
2017-01,Cargolux Italia SpA (International),18,"69,474",0,0,-,"4,356,000","2,397,197",0
2017-01,Caribbean Airlines Limited (International),650,"1,078,704","100,100","63,777",64%,"32,499,606","337,523",0
2017-01,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airli",154,"195,622","23,870","6,697",28%,"5,390,000",0,0
2017-01,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airli",272,"202,115","42,160","1,828",4%,"9,520,000",0,0
2017-01,CAT Aviation (International),3,"13,532",36,14,39%,"7,809",0,0
2017-01,Cathay Pacific Airways Ltd. (International),"1,453","7,943,318","248,720","198,954",80%,"262,825,499","126,324,485",0
2017-01,Cayman Airways Limited (International),269,"206,746","35,508","14,476",41%,"11,360,110","47,639",0
2017-01,Cebu Air Inc d/b/a Cebu Pacific Air (International),36,"57,492","6,480","3,396",52%,"1,533,788","12,971",0
2017-01,CFM Inc d/b/a Contour Airlines (Domestic),"1,109","339,558","18,660","7,959",43%,"6,342,210",0,0
2017-01,Chartright Air Inc. (International),90,"69,141",645,313,49%,"193,460",0,0
2017-01,China Airlines Ltd. (International),731,"3,772,782","114,185","96,738",85%,"116,419,273","66,906,828",0
2017-01,China Cargo Airline (International),176,"797,480",0,0,-,"40,854,000","28,721,884",0
2017-01,China Eastern Airlines (International),462,"2,915,244","137,316","113,171",82%,"57,501,840","5,799,854",0
2017-01,China Southern Airlines (International),388,"2,792,748","79,002","73,267",93%,"59,185,805","24,723,676",0
2017-01,City Wings Inc dba Seaflight (Domestic),328,"14,760","2,952","2,109",71%,"485,440",0,0
2017-01,"Commutair Aka Champlain Enterprises, Inc. (Domestic)","3,586","961,728","157,785","118,385",75%,"43,147,525",0,0
2017-01,Compagnia Aerea Italiana (International),260,"1,148,810","66,006","53,442",81%,"32,499,990","2,607,538",0
2017-01,Compagnie Aerienne Inter Regionale Express dba Air Anti,160,"51,742","3,869","1,306",34%,"827,200",0,0
2017-01,Compagnie Natl Air France (International),943,"3,879,897","288,947","240,547",83%,"97,403,430","20,240,844",0
2017-01,Compania Panamena (Copa) (International),"1,752","3,368,284","268,545","225,348",84%,"70,056,272","1,153,747",0
2016-12,40-Mile Air (Domestic),70,"7,190",280,64,23%,"73,800","6,044","1,040"
2016-12,ABC Aerolineas SA de CV dba Interjet (International),"1,582","1,930,576","212,391","157,554",74%,"31,542,309",0,0
2016-12,ABSA-Aerolinhas Brasileiras (International),60,"150,494",0,0,-,"7,131,183","5,599,685",0
2016-12,ABX Air Inc (Atlantic),550,"748,639",0,0,-,"104,465,610","37,432,832",0
2016-12,ABX Air Inc (Domestic),908,"982,034",0,0,-,"177,159,150","54,084,018",0
2016-12,ACM AIR CHARTER GmbH (International),9,"20,058",90,13,14%,"21,780",0,0
2016-12,Acropolis Aviation Ltd. (International),3,"12,076",57,57,100%,"79,200",0,0
2016-12,Aer Lingus Plc (International),667,"2,300,507","175,340","138,176",79%,"55,399,216","3,690,874",0
2016-12,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,213,"64,396","10,650","5,303",50%,"2,558,659",0,0
2016-12,"Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus",76,"49,788","13,680","9,893",72%,"2,736,030",0,0
2016-12,Aeroflot Russian Airlines (International),228,"1,190,622","69,330","57,956",84%,"18,701,760","2,078,572",0
2016-12,Aerolineas Argentinas (International),206,"961,948","55,775","44,757",80%,"16,704,952","2,837,802",0
2016-12,Aerolitoral (International),838,"593,840","70,658","57,738",82%,"18,041,454","19,349",0
2016-12,AeroLogic GmbH (International),60,"263,067",0,0,-,"13,925,866","9,116,702",0
2016-12,Aeromexico (International),"2,326","3,757,061","372,908","288,201",77%,"90,238,711","2,337,541",0
2016-12,Aerotransportes Mas De Crga (International),63,"88,935",0,0,-,"7,872,480","6,187,700",0
2016-12,Aerounion Aerotransporte de Carga Union SA de CV (Inter,134,"189,302",0,0,-,"12,971,200","10,378,666",0
2016-12,Aerovias de Intergracian Regional (International),62,"93,372","13,044","11,782",90%,"4,679,400","845,122",0
2016-12,Aerovias Nacl De Colombia (International),931,"1,646,211","155,178","132,036",85%,"53,216,841","3,598,570",0
2016-12,Air Alsie A/S (International),14,"39,033",140,20,14%,"28,030",0,0
2016-12,Air Atlanta Icelandic (International),30,"144,540",0,0,-,"7,633,534","3,807,731",0
2016-12,Air Berlin PLC and CO (International),349,"1,572,067","100,155","81,634",82%,"35,010,967","5,473,927",0
2016-12,AirBridgeCargo Airlines Limited (International),299,"1,070,556",0,0,-,"86,872,790","31,544,831",0
2016-12,Air Busan (International),36,"64,512","7,020","5,170",74%,"1,639,414",0,0
2016-12,Air Canada (International),"3,246","3,822,867","443,862","360,277",81%,"122,934,892","1,998,234",0
2016-12,Air Canada rouge LP (International),"2,031","2,944,401","421,393","332,742",79%,"119,332,422","1,131,421",0
2016-12,"Air Charter, Inc d/b/a Air Flamenco (Domestic)",986,"34,526","19,125","4,956",26%,"5,045,000","224,302","80,962"
2016-12,Air China (International),615,"3,746,217","156,181","127,526",82%,"69,963,532","33,897,979",0
2016-12,Air Europa (International),160,"615,043","47,570","36,938",78%,"22,571,346","1,309,753",0
2016-12,Air Excursions LLC (Domestic),68,"2,744",366,122,33%,"101,236","4,608","25,359"
2016-12,Air Georgian (International),"2,819","1,079,767","122,550","78,746",64%,"29,359,226",0,0
2016-12,Air Japan Co (International),62,"236,778","12,524","10,524",84%,"4,185,570","630,393",0
2016-12,Air New Zealand (International),342,"2,126,536","111,044","92,971",84%,"48,281,739","5,242,861",0
2016-12,Air Pacific Ltd. (International),108,"513,286","26,138","20,150",77%,"8,178,294","710,719",0
2016-12,Air Serbia (International),32,"144,352","8,128","5,796",71%,"1,595,455","435,096",0
2016-12,Air Sunshine Inc. (Domestic),248,"20,398","2,232",675,30%,"412,000",0,0
2016-12,Air Tahiti Nui (International),130,"598,500","38,220","29,109",76%,"10,296,000","1,712,260",0
2016-12,Air Transat (International),116,"150,266","22,412","17,664",79%,"5,350,400",0,0
2016-12,Air Transport International (Domestic),696,"874,410",0,0,-,"122,337,540","34,345,193",0
2016-12,Air Wisconsin Airlines Corp (Domestic),"10,487","4,034,118","524,348","394,613",75%,"128,360,880","60,004","3,913"
2016-12,Alaska Airlines Inc. (Domestic),"14,808","18,356,018","2,344,687","1,938,592",83%,"617,514,337","7,225,133","4,988,826"
2016-12,Alaska Airlines Inc. (Latin America),"1,220","1,754,214","203,710","160,607",79%,"51,652,906","157,023",0
2016-12,Alaska Central Express (Domestic),944,"272,430",0,0,-,"5,239,356","619,970","1,372,884"
2016-12,Albinati Aeronautics SA (International),1,"4,941",14,3,21%,"5,124",0,0
2016-12,Alia-(The) Royal Jordanian (International),95,"505,432","24,115","17,123",71%,"8,319,300","714,174",0
2016-12,Allegiant Air (Domestic),"7,661","6,703,473","1,282,557","980,773",76%,"562,372,400",0,0
2016-12,All Nippon Airways Co. (International),808,"4,543,070","191,263","146,063",76%,"82,575,100","27,546,251",0
2016-12,Aloha Air Cargo (Domestic),864,"125,799",0,0,-,"30,240,000","6,475,974","3,760,426"
2016-12,American Airlines Inc. (Atlantic),"2,403","9,912,180","593,584","460,900",78%,"242,189,174","40,375,791","2,866,138"
2016-12,American Airlines Inc. (Domestic),"74,084","77,010,440","11,700,852","9,484,078",81%,"3,197,791,284","21,378,726","18,300,332"
2016-12,American Airlines Inc. (Latin America),"12,846","18,416,647","2,124,333","1,631,484",77%,"604,259,751","22,476,829","1,708,461"
2016-12,American Airlines Inc. (Pacific),868,"5,824,646","226,665","187,778",83%,"86,022,873","13,486,145","1,728,016"
2016-12,Amerijet International (Latin America),492,"560,081",0,0,-,"47,439,436","30,537,673","170,177"
2016-12,Ameristar Air Cargo (Domestic),131,"102,163","1,440",582,40%,"2,971,618","491,114",0
2016-12,Ameristar Air Cargo (International),28,"14,158",0,0,-,"595,724","95,579",0
2016-12,Antonov Company (International),2,"7,570",0,0,-,"528,000","144,556",0
2016-12,Arctic Transportation (Domestic),"1,099","105,551",885,100,11%,"4,483,200","889,276","943,799"
2016-12,Arik Air International (International),24,"126,000","6,208","4,525",73%,"2,671,240","27,689",0
2016-12,Asiana Airlines Inc. (International),"1,039","4,097,985","174,802","144,087",82%,"134,046,565","36,240,170",0
2016-12,Asia Pacific (International),93,"160,639",0,0,-,"4,324,500","1,503,700","751,033"
2016-12,Atlas Air Inc. (Domestic),"1,135","1,408,369","17,524","4,198",24%,"364,693,663","94,609,617",0
2016-12,Atlas Air Inc. (International),768,"2,455,357","10,360","2,116",20%,"302,836,642","120,847,391",0
2016-12,Austrian Airlines (International),196,"902,406","46,710","37,637",81%,"24,799,742","2,456,862",0
2016-12,"Avior Airlines, C.A. (International)",102,"151,572","17,918","13,353",75%,"2,695,270",0,0
2016-12,Avjet Corporation (Domestic),187,"212,169","1,774",527,30%,"481,000",0,0
2016-12,Azerbaijan Airlines CJSC (International),22,"128,282","4,620","2,746",59%,"1,883,470","301,543",0
2016-12,Azul Linhas Aereas Brazileiras S A (International),156,"639,372","39,985","38,074",95%,"15,407,260","4,166,516",0
2016-12,Bahamasair Holding Limited (International),638,"127,280","69,400","45,954",66%,"17,446,658",0,0
2016-12,Bemidji Airlines (Domestic),45,"7,960",9,0,0%,"123,000","30,312",0
2016-12,Bering Air Inc. (Domestic),"2,354","213,958","20,992","7,920",38%,"7,878,400","188,793","651,986"
2016-12,Bertelsmann Aviation GmbH (International),3,"8,528",30,6,20%,"17,973",0,0
2016-12,Blue Jet SP Z o o (International),14,"60,916",115,40,35%,"49,045",0,0
2016-12,Boutique Air (Domestic),"2,625","572,165","21,000","13,970",67%,"4,297,200",0,0
2016-12,Britannia Airways Ltd. (International),8,"36,466","2,464","2,283",93%,"748,158",0,0
2016-12,British Airways Plc (International),"2,373","9,981,499","673,974","541,392",80%,"226,813,350","38,388,029",0
2016-12,Brussels Airlines N.V. (International),62,"227,354","17,370","13,884",80%,"5,830,264","1,193,390",0
2016-12,C.A.L Cargo Airlines (International),63,"303,785",0,0,-,"16,354,800","6,362,461",0
2016-12,Cape Air (Domestic),"7,950","817,824","95,050","47,424",50%,"17,237,343",0,"85,986"
2016-12,Cargojet Airways Ltd. (International),138,"168,127",0,0,-,"11,357,725","4,371,381",0
2016-12,Cargologicair Limited (International),22,"95,964",132,0,0%,"5,082,801","2,849,160",0
2016-12,Cargolux Airlines International S.A (International),306,"1,642,910",0,0,-,"74,052,000","48,998,995",0
2016-12,Cargolux Italia SpA (International),18,"69,894",0,0,-,"4,356,000","2,264,202",0
2016-12,Caribbean Airlines Limited (International),669,"1,108,494","103,026","75,486",73%,"33,449,597","350,164",0
2016-12,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airli",239,"199,198","37,045",619,2%,"8,365,000",0,0
2016-12,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airli",168,"216,088","26,040","6,392",25%,"5,880,000",0,0
2016-12,CAT Aviation (International),5,"20,636",62,15,24%,"12,414",0,0
2016-12,Cathay Pacific Airways Ltd. (International),"1,526","8,252,564","230,983","190,146",82%,"278,010,629","151,644,188",0
2016-12,Cavok Air LLC (International),1,"1,752",0,0,-,"44,000","26,303",0
2016-12,Cayman Airways Limited (International),250,"171,454","32,046","18,750",59%,"6,275,526","51,846",0
2016-12,Cebu Air Inc d/b/a Cebu Pacific Air (International),32,"51,104","5,760","3,254",56%,"1,363,366",0,0
2016-12,CFM Inc d/b/a Contour Airlines (Domestic),"1,140","346,371","20,533","9,335",45%,"6,691,670",0,0
2016-12,Chartright Air Inc. (International),143,"122,548",913,460,50%,"280,801",0,0
2016-12,China Airlines Ltd. (International),874,"4,282,229","114,670","91,292",80%,"148,942,088","93,905,903",0
2016-12,China Cargo Airline (International),189,"829,949",0,0,-,"44,110,000","36,565,572",0
2016-12,China Eastern Airlines (International),480,"3,040,385","143,315","111,071",78%,"60,214,440","7,259,551",0
2016-12,China Southern Airlines (International),392,"2,821,752","80,694","73,339",91%,"57,516,928","26,977,082",0
2016-12,City Wings Inc dba Seaflight (Domestic),344,"15,480","3,096","2,299",74%,"1,437,920",0,0
2016-12,"Commutair Aka Champlain Enterprises, Inc. (Domestic)","4,261","993,874","185,074","145,565",79%,"50,289,585",0,0
2016-12,Compagnia Aerea Italiana (International),294,"1,290,158","74,330","62,456",84%,"36,749,990","4,470,098",0
2016-12,Compagnie Aerienne Inter Regionale Express dba Air Anti,178,"59,018","4,325","1,887",44%,"920,260",0,0
2016-11,40-Mile Air (Domestic),76,"7,886",304,112,37%,"80,000","7,606","1,600"
2016-11,ABC Aerolineas SA de CV dba Interjet (International),"1,396","1,651,573","183,791","126,648",69%,"25,354,930",0,0
2016-11,ABSA-Aerolinhas Brasileiras (International),74,"195,630",0,0,-,"8,541,589","7,124,910",0
2016-11,ABS JETS A.S (International),2,"4,866",28,10,36%,"4,840","1,100",0
2016-11,ABX Air Inc (Atlantic),479,"631,229",0,0,-,"92,192,760","31,332,848",0
2016-11,ABX Air Inc (Domestic),923,"1,084,719",0,0,-,"180,360,000","52,889,326",0
2016-11,ACM AIR CHARTER GmbH (International),3,"9,080",42,3,7%,"10,560",0,0
2016-11,Acropolis Aviation Ltd. (International),1,"4,167",19,5,26%,"26,400",0,0
2016-11,Aer Lingus Plc (International),680,"2,345,092","177,404","145,853",82%,"55,902,660","3,964,726",0
2016-11,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,37,"17,311","1,850",606,33%,"449,100",0,0
2016-11,"Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus",18,"7,398","3,240","2,547",79%,"648,006",0,0
2016-11,Aeroflot Russian Airlines (International),214,"1,111,864","65,268","55,166",85%,"17,758,840","1,634,862",0
2016-11,Aerolineas Argentinas (International),180,"845,640","48,784","39,571",81%,"14,596,560","3,532,309",0
2016-11,Aerolitoral (International),753,"573,880","64,537","53,766",83%,"16,494,597","30,816",0
2016-11,AeroLogic GmbH (International),62,"269,185",0,0,-,"14,390,065","9,841,515",0
2016-11,Aeromexico (International),"2,008","3,222,129","324,232","253,099",78%,"76,006,473","2,424,278",0
2016-11,Aerotransportes Mas De Crga (International),66,"93,148",0,0,-,"8,247,360","6,378,729",0
2016-11,Aerounion Aerotransporte de Carga Union SA de CV (Inter,152,"222,608",0,0,-,"14,713,600","10,730,009",0
2016-11,Aerovias de Intergracian Regional (International),60,"90,360","12,858","10,626",83%,"4,761,900","910,101",0
2016-11,Aerovias Nacl De Colombia (International),875,"1,537,587","136,582","114,331",84%,"49,410,462","3,270,202",0
2016-11,Air Alsie A/S (International),6,"17,067",80,10,13%,"16,017",0,0
2016-11,Air Atlanta Icelandic (International),28,"140,091",0,0,-,"7,131,284","3,309,680",0
2016-11,Air Berlin PLC and CO (International),336,"1,517,134","96,532","78,842",82%,"33,672,515","4,500,106",0
2016-11,AirBridgeCargo Airlines Limited (International),346,"1,207,680",0,0,-,"100,717,215","34,715,659",0
2016-11,Air Busan (International),33,"59,136","6,435","5,519",86%,"1,502,675",0,0
2016-11,Air Canada (International),"2,942","3,194,305","389,620","307,214",79%,"106,217,939","2,150,349",0
2016-11,Air Canada rouge LP (International),"1,484","2,206,249","323,519","277,607",86%,"92,810,014","1,178,963",0
2016-11,"Air Charter, Inc d/b/a Air Flamenco (Domestic)",821,"27,446","8,151","4,816",59%,"4,170,000","146,279","68,067"
2016-11,Air China (International),572,"3,474,154","142,446","113,631",80%,"66,664,310","35,105,092",0
2016-11,Air Europa (International),130,"517,740","38,708","28,223",73%,"18,026,011","1,272,342",0
2016-11,Air Excursions LLC (Domestic),103,"4,182",544,188,35%,"156,140","7,174","9,315"
2016-11,Air Georgian (International),"2,882","1,111,704","124,420","76,117",61%,"29,782,790",0,0
2016-11,Air Japan Co (International),60,"229,140","12,144","10,872",90%,"4,050,552","703,300",0
2016-11,Air New Zealand (International),299,"1,851,805","96,605","81,201",84%,"42,033,824","7,823,414",0
2016-11,Air Pacific Ltd. (International),78,"345,178","18,696","14,139",76%,"5,464,778","576,359",0
2016-11,Air Serbia (International),28,"126,308","7,112","4,214",59%,"1,121,780","278,137",0
2016-11,Air Tahiti Nui (International),95,"428,400","27,930","24,759",89%,"7,603,200","1,507,890",0
2016-11,Air Transat (International),76,"98,566","14,852","12,691",85%,"3,590,400",0,0
2016-11,Air Transport International (Domestic),675,"788,314",0,0,-,"77,222,920","28,781,888",0
2016-11,Air Wisconsin Airlines Corp (Domestic),"11,002","4,271,878","550,099","409,541",74%,"134,664,480","104,525","15,386"
2016-11,Alaska Airlines Inc. (Domestic),"14,384","17,525,601","2,289,038","1,887,760",82%,"599,852,949","7,633,963","4,372,816"
2016-11,Alaska Airlines Inc. (Latin America),"1,058","1,491,688","180,858","147,121",81%,"45,634,666","163,651",0
2016-11,Alaska Central Express (Domestic),923,"282,210","1,168",629,54%,"5,116,868","730,684","1,182,322"
2016-11,Albinati Aeronautics SA (International),2,"6,894",28,4,14%,"10,248",0,0
2016-11,Alia-(The) Royal Jordanian (International),74,"368,632","19,080","12,637",66%,"6,532,900","522,980",0
2016-11,Allegiant Air (Domestic),"6,370","5,655,585","1,065,546","873,163",82%,"490,226,000",0,0
2016-11,All Nippon Airways Co. (International),780,"4,389,060","183,309","144,339",79%,"79,025,948","26,980,999",0
2016-11,Aloha Air Cargo (Domestic),805,"117,957",0,0,-,"28,175,000","5,938,355","2,774,916"
2016-11,American Airlines Inc. (Atlantic),"2,136","8,803,992","531,194","390,551",74%,"215,487,422","37,209,934","2,047,953"
2016-11,American Airlines Inc. (Domestic),"72,357","72,592,173","11,388,087","9,359,485",82%,"3,105,399,553","21,360,194","14,607,509"
2016-11,American Airlines Inc. (Latin America),"10,392","15,047,506","1,715,421","1,335,358",78%,"493,345,992","24,091,259","1,549,802"
2016-11,American Airlines Inc. (Pacific),809,"5,417,424","208,477","166,657",80%,"80,338,016","13,839,970","1,583,436"
2016-11,Amerijet International (Latin America),382,"400,784",0,0,-,"39,419,000","27,162,172","87,430"
2016-11,Ameristar Air Cargo (Domestic),98,"69,616","2,328",936,40%,"2,364,131","175,439",0
2016-11,Ameristar Air Cargo (International),16,"7,314",0,0,-,"341,258","51,389",0
2016-11,Antonov Company (International),7,"23,018",0,0,-,"1,848,000","458,501",0
2016-11,Arctic Transportation (Domestic),"1,326","109,423","2,325",142,6%,"5,295,200","844,978","1,147,057"
2016-11,Asiana Airlines Inc. (International),945,"3,960,252","157,195","125,968",80%,"126,127,567","35,081,284",0
2016-11,Asia Pacific (International),73,"124,635",0,0,-,"3,394,500","1,092,345","502,562"
2016-11,Atlas Air Inc. (Domestic),771,"1,086,090","1,292",227,18%,"238,883,366","77,059,519",0
2016-11,Atlas Air Inc. (International),711,"2,537,323","8,902","1,396",16%,"287,132,454","116,029,708",0
2016-11,Austrian Airlines (International),198,"900,652","48,900","36,870",75%,"26,478,980","2,937,342",0
2016-11,"Avior Airlines, C.A. (International)",103,"153,058","14,832","12,885",87%,"2,579,577",0,0
2016-11,Azerbaijan Airlines CJSC (International),16,"93,296","3,360","1,735",52%,"1,384,815","317,447",0
2016-11,Azul Linhas Aereas Brazileiras S A (International),114,"469,218","29,145","28,256",97%,"12,004,815","3,238,948",0
2016-11,Bahamasair Holding Limited (International),550,"106,819","55,600","36,175",65%,"13,866,811",0,0
2016-11,Bemidji Airlines (Domestic),44,"7,363",11,0,0%,"118,000","22,897",0
2016-11,Bering Air Inc. (Domestic),"2,828","238,586","25,527","10,583",41%,"9,307,250","253,685","712,001"
2016-11,Blue Jet SP Z o o (International),2,"8,797",28,8,29%,"10,300",0,0
2016-11,Boutique Air (Domestic),"2,589","564,757","20,712","13,603",66%,"15,526,830",0,0
2016-11,Britannia Airways Ltd. (International),19,"81,489","6,315","5,073",80%,"1,810,692","46,253",0
