"Year...Month","Carrier","Departures","Miles","Seats","Passengers","Seat.Utilization"
"2016-01","CFM Inc d/b/a Contour Airlines (Domestic)","152","21,174","2,838","606","21%"
"2016-01","Chartright Air Inc. (International)","103","92,270","701","256","37%"
"2016-01","China Airlines Ltd. (International)","684","3,252,651","102,583","90,623","88%"
"2016-01","China Eastern Airlines (International)","369","2,292,341","108,358","90,503","84%"
"2016-01","China Southern Airlines (International)","330","2,374,052","72,822","63,994","88%"
"2016-01","City Wings Inc dba Seaflight (Domestic)","298","13,410","2,682","918","34%"
"2016-01","Commutair Aka Champlain Enterprises, Inc. (Domestic)","2,114","449,402","85,615","64,913","76%"
"2016-01","Compagnia Aerea Italiana (International)","260","1,150,452","66,692","50,388","76%"
"2016-01","Compagnie Aerienne Inter Regionale Express dba Air Anti","124","40,076","2,528","813","32%"
"2015-12","40-Mile Air (Domestic)","54","5,634","216","23","11%"
"2015-12","ABC Aerolineas SA de CV dba Interjet (International)","837","861,049","107,635","80,190","75%"
"2015-12","ACM AIR CHARTER GmbH (International)","11","35,558","140","25","18%"
"2015-12","Acropolis Aviation Ltd. (International)","2","6,167","38","15","39%"
"2015-12","Aer Lingus Plc (International)","519","1,760,388","137,636","112,025","81%"
"2015-12","Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus","70","47,600","11,256","8,137","72%"
"2015-12","Aeroflot Russian Airlines (International)","218","1,134,776","60,590","50,095","83%"
"2015-12","Aerolineas Argentinas (International)","202","938,932","56,022","42,319","76%"
"2015-12","Aerolitoral (International)","792","608,176","69,364","54,662","79%"
"2015-12","Aeromexico (International)","2,270","3,639,546","362,836","284,084","78%"
"2015-12","Aerovias de Intergracian Regional (International)","62","93,372","14,756","12,651","86%"
"2015-12","Aerovias Nacl De Colombia (International)","935","1,676,203","147,916","121,912","82%"
"2015-12","Air Alsie A/S (International)","12","29,843","108","17","16%"
"2015-12","Air Berlin PLC and CO (International)","266","1,144,670","76,528","63,366","83%"
"2015-12","Air Busan (International)","35","62,720","5,670","4,355","77%"
"2015-12","Air Canada (International)","3,020","3,706,217","403,799","313,015","78%"
"2015-12","Air Canada rouge LP (International)","2,072","2,859,635","390,380","301,040","77%"
"2015-12","Air Charter, Inc d/b/a Air Flamenco (Domestic)","1,501","47,728","11,484","6,766","59%"
"2015-12","Air China (International)","574","3,512,618","150,993","113,860","75%"
"2015-12","Air Europa (International)","118","472,092","33,122","25,845","78%"
"2015-12","Air Excursions LLC (Domestic)","100","4,034","530","183","35%"
"2015-12","Air Georgian (International)","1,715","661,711","62,614","35,964","57%"
"2015-12","Air Japan Co (International)","62","236,778","13,268","11,624","88%"
"2015-12","Air New Zealand (International)","349","2,141,991","109,476","90,682","83%"
"2015-12","Air Pacific Ltd. (International)","94","433,466","21,740","17,335","80%"
"2015-12","Air Sunshine Inc. (Domestic)","248","20,398","2,232","574","26%"
"2015-12","Air Tahiti Nui (International)","122","561,015","35,868","27,544","77%"
"2015-12","Air Transat (International)","117","184,273","25,263","20,122","80%"
"2015-12","Air Transport International (Domestic)","556","434,090","264","0","0%"
"2015-12","Air Wisconsin Airlines Corp (Domestic)","12,828","4,744,287","641,400","486,116","76%"
"2015-12","Alaska Airlines Inc. (Domestic)","14,761","18,103,194","2,295,553","1,858,102","81%"
"2015-12","Alaska Airlines Inc. (Latin America)","1,204","1,732,774","195,524","153,833","79%"
"2015-12","Alaska Central Express (Domestic)","858","246,024","756","429","57%"
"2015-12","Albinati Aeronautics SA (International)","2","2,178","24","6","25%"
"2015-12","Albinati aviation Limited (International)","2","9,340","26","5","19%"
"2015-12","Alia-(The) Royal Jordanian (International)","94","566,492","24,910","15,631","63%"
"2015-12","Allegiant Air (Domestic)","6,091","5,727,109","1,030,341","850,284","83%"
"2015-12","All Nippon Airways Co. (International)","817","4,580,167","190,378","144,803","76%"
"2015-12","American Airlines Inc. (Atlantic)","2,633","10,907,301","633,717","478,832","76%"
"2015-12","American Airlines Inc. (Domestic)","76,746","78,604,436","11,929,266","9,937,201","83%"
"2015-12","American Airlines Inc. (Latin America)","12,912","19,837,700","2,159,166","1,661,445","77%"
"2015-12","American Airlines Inc. (Pacific)","644","4,349,468","159,093","130,989","82%"
"2015-12","Ameristar Air Cargo (Domestic)","73","50,134","4,515","1,564","35%"
"2015-12","Arctic Transportation (Domestic)","973","85,221","1,371","51","4%"
"2015-12","Arik Air International (International)","26","136,500","5,642","4,015","71%"
"2015-12","Asiana Airlines Inc. (International)","892","3,743,694","162,905","134,798","83%"
"2015-12","Atlas Air Inc. (Domestic)","935","1,177,009","20,108","6,563","33%"
"2015-12","Atlas Air Inc. (International)","659","2,087,428","11,770","2,518","21%"
"2015-12","Austrian Airlines (International)","206","944,278","54,528","39,129","72%"
"2015-12","Avior Airlines, C.A. (International)","88","130,768","12,672","10,617","84%"
"2015-12","Avjet Corporation (Domestic)","200","188,491","2,147","662","31%"
"2015-12","Azerbaijan Airlines CJSC (International)","20","116,620","4,200","2,339","56%"
"2015-12","Azul Linhas Aereas Brazileiras S A (International)","218","899,030","58,231","51,885","89%"
"2015-12","Bahamasair Holding Limited (International)","624","122,910","66,460","47,245","71%"
"2015-12","Bering Air Inc. (Domestic)","2,281","199,198","20,238","8,276","41%"
"2015-12","Bertelsmann Aviation GmbH (International)","3","6,850","30","6","20%"
"2015-12","Blue Jet SP Z o o (International)","7","31,926","70","18","26%"
"2015-12","Boutique Air (Domestic)","1,564","323,110","12,512","5,934","47%"
"2015-12","British Airways Plc (International)","2,351","9,776,133","658,243","532,632","81%"
"2015-12","Brussels Airlines N.V. (International)","60","220,020","16,940","14,036","83%"
"2015-12","Cape Air (Domestic)","9,009","925,414","91,324","52,325","57%"
"2015-12","Caribbean Airlines Limited (International)","702","1,152,353","108,376","83,129","77%"
"2015-12","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airli","154","110,280","23,870","6,857","29%"
"2015-12","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airli","149","111,131","23,095","422","2%"
"2015-12","CAT Aviation (International)","9","35,467","117","22","19%"
"2015-12","Cathay Pacific Airways Ltd. (International)","1,437","7,702,546","214,900","162,002","75%"
"2015-12","Cayman Airways Limited (International)","213","147,544","25,596","19,021","74%"
"2015-12","CFM Inc d/b/a Contour Airlines (Domestic)","183","28,562","3,420","1,489","44%"
"2015-12","Chartright Air Inc. (International)","80","58,357","575","266","46%"
"2015-12","China Airlines Ltd. (International)","718","3,367,227","101,503","83,606","82%"
"2015-12","China Eastern Airlines (International)","337","2,094,560","99,262","78,820","79%"
"2015-12","China Southern Airlines (International)","332","2,384,834","72,204","61,994","86%"
"2015-12","City Wings Inc dba Seaflight (Domestic)","300","13,500","2,700","2,048","76%"
"2015-12","Comlux Malta, Ltd. (International)","1","4,792","14","6","43%"
"2015-12","Commutair Aka Champlain Enterprises, Inc. (Domestic)","2,601","527,126","106,260","83,411","78%"
"2015-12","Compagnia Aerea Italiana (International)","294","1,292,344","75,370","57,853","77%"
"2015-12","Compagnie Aerienne Inter Regionale Express dba Air Anti","154","50,920","3,216","1,137","35%"
"2015-11","40-Mile Air (Domestic)","67","8,304","268","60","22%"
"2015-11","ABC Aerolineas SA de CV dba Interjet (International)","750","769,205","96,027","67,651","70%"
"2015-11","ABS JETS A.S (International)","3","7,503","39","16","41%"
"2015-11","ACM AIR CHARTER GmbH (International)","15","46,616","184","42","23%"
"2015-11","Acropolis Aviation Ltd. (International)","1","3,456","19","9","47%"
"2015-11","Aer Lingus Plc (International)","545","1,847,971","144,214","116,414","81%"
"2015-11","Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus","36","14,796","5,520","3,910","71%"
"2015-11","Aeroflot Russian Airlines (International)","214","1,110,142","59,626","47,737","80%"
"2015-11","Aerolineas Argentinas (International)","198","918,882","54,870","39,650","72%"
"2015-11","Aerolitoral (International)","760","620,855","66,438","49,498","75%"
"2015-11","Aeromexico (International)","1,887","3,033,394","303,880","233,178","77%"
"2015-11","Aerovias de Intergracian Regional (International)","60","90,360","14,246","11,913","84%"
"2015-11","Aerovias Nacl De Colombia (International)","866","1,533,086","136,682","108,924","80%"
"2015-11","Air Alsie A/S (International)","15","33,415","180","33","18%"
"2015-11","Air Berlin PLC and CO (International)","256","1,097,652","73,984","58,955","80%"
"2015-11","Air Busan (International)","35","62,720","5,670","4,097","72%"
"2015-11","Air Canada (International)","2,435","2,832,938","318,211","251,541","79%"
"2015-11","Air Canada rouge LP (International)","1,649","2,279,686","292,764","245,482","84%"
"2015-11","Air Charter, Inc d/b/a Air Flamenco (Domestic)","1,142","34,655","8,712","4,720","54%"
"2015-11","Air China (International)","528","3,216,772","142,177","100,121","70%"
"2015-11","Air Europa (International)","100","404,150","27,830","21,397","77%"
"2015-11","Air Excursions LLC (Domestic)","97","3,870","529","178","34%"
"2015-11","Air Georgian (International)","1,686","649,790","59,880","32,151","54%"
"2015-11","Air Japan Co (International)","60","229,140","12,840","11,069","86%"
"2015-11","Air New Zealand (International)","309","1,856,224","96,720","77,126","80%"
"2015-11","Air Pacific Ltd. (International)","82","372,044","18,578","15,326","82%"
"2015-11","Air Sunshine Inc. (Domestic)","300","27,180","2,700","428","16%"
"2015-11","Air Tahiti Nui (International)","100","452,025","29,400","25,950","88%"
"2015-11","Air Transat (International)","91","120,546","18,175","15,383","85%"
"2015-11","Air Transport International (Domestic)","462","398,271","234","0","0%"
"2015-11","Air Wisconsin Airlines Corp (Domestic)","12,773","4,707,366","638,649","487,888","76%"
"2015-11","Alaska Airlines Inc. (Domestic)","14,212","17,456,832","2,210,767","1,754,885","79%"
"2015-11","Alaska Airlines Inc. (Latin America)","1,085","1,546,994","174,033","139,140","80%"
"2015-11","Alaska Central Express (Domestic)","758","213,312","272","119","44%"
"2015-11","Alia-(The) Royal Jordanian (International)","78","469,070","19,080","10,845","57%"
"2015-11","Allegiant Air (Domestic)","5,559","5,119,522","939,813","777,280","83%"
"2015-11","All Nippon Airways Co. (International)","780","4,385,580","187,520","138,427","74%"
"2015-11","American Airlines Inc. (Atlantic)","2,427","10,034,346","585,605","423,716","72%"
"2015-11","American Airlines Inc. (Domestic)","74,656","74,354,550","11,540,363","9,698,643","84%"
"2015-11","American Airlines Inc. (Latin America)","10,909","16,653,409","1,810,859","1,386,624","77%"
"2015-11","American Airlines Inc. (Pacific)","613","4,115,293","149,418","121,896","82%"
"2015-11","Ameristar Air Cargo (Domestic)","112","78,555","3,807","1,040","27%"
"2015-11","Ameristar Air Cargo (International)","22","15,150","588","302","51%"
"2015-11","Arctic Transportation (Domestic)","1,023","86,676","1,377","97","7%"
"2015-11","Arik Air International (International)","22","115,500","4,774","2,652","56%"
"2015-11","Asiana Airlines Inc. (International)","888","3,966,530","158,185","125,146","79%"
"2015-11","Atlas Air Inc. (Domestic)","617","780,237","3,132","219","7%"
"2015-11","Atlas Air Inc. (International)","572","2,045,221","11,900","1,767","15%"
"2015-11","Austrian Airlines (International)","202","928,880","53,802","40,249","75%"
"2015-11","Avior Airlines, C.A. (International)","86","127,796","12,212","10,535","86%"
"2015-11","Avjet Corporation (Domestic)","185","181,350","1,813","449","25%"
"2015-11","Azerbaijan Airlines CJSC (International)","18","104,958","3,780","1,426","38%"
"2015-11","Azul Linhas Aereas Brazileiras S A (International)","134","552,434","35,700","28,669","80%"
"2015-11","Bahamasair Holding Limited (International)","550","105,428","55,220","36,062","65%"
"2015-11","Bering Air Inc. (Domestic)","2,147","182,332","19,468","8,417","43%"
"2015-11","Blue Jet SP Z o o (International)","5","15,142","42","7","17%"
"2015-11","Boutique Air (Domestic)","1,383","295,894","11,064","5,234","47%"
"2015-11","Britannia Airways Ltd. (International)","17","72,456","4,775","4,038","85%"
"2015-11","British Airways Plc (International)","2,352","9,761,702","654,106","545,695","83%"
"2015-11","Brussels Airlines N.V. (International)","50","183,350","14,088","11,048","78%"
"2015-11","Cape Air (Domestic)","8,575","909,115","87,595","49,252","56%"
"2015-11","Caribbean Airlines Limited (International)","657","1,079,714","103,255","72,187","70%"
"2015-11","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airli","117","40,659","18,135","12,036","66%"
"2015-11","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airli","10","8,184","1,550","1,229","79%"
"2015-11","CAT Aviation (International)","5","20,547","67","13","19%"
"2015-11","Cathay Pacific Airways Ltd. (International)","1,494","7,756,204","201,812","157,701","78%"
"2015-11","Cayman Airways Limited (International)","206","127,892","24,878","17,621","71%"
"2015-11","CFM Inc d/b/a Contour Airlines (Domestic)","168","27,992","3,191","1,222","38%"
"2015-11","Chartright Air Inc. (International)","99","64,649","764","382","50%"
"2015-11","China Airlines Ltd. (International)","734","3,419,708","94,566","77,719","82%"
"2015-11","China Eastern Airlines (International)","290","1,759,610","81,684","63,911","78%"
"2015-11","China Southern Airlines (International)","362","2,596,378","70,134","60,489","86%"
"2015-11","City Wings Inc dba Seaflight (Domestic)","288","12,960","2,592","1,021","39%"
"2015-11","Comlux Malta, Ltd. (International)","1","3,868","14","5","36%"
"2015-11","Commutair Aka Champlain Enterprises, Inc. (Domestic)","2,816","546,693","114,956","91,112","79%"
"2015-11","Compagnia Aerea Italiana (International)","296","1,303,952","75,872","59,648","79%"
"2015-11","Compagnie Aerienne Inter Regionale Express dba Air Anti","68","24,894","1,568","728","46%"
"2015-11","Compagnie Natl Air France (International)","933","3,859,648","297,675","250,354","84%"
"2015-11","Compania Panamena (Copa) (International)","1,515","2,823,972","231,028","166,742","72%"
"2015-10","40-Mile Air (Domestic)","96","10,385","370","99","27%"
"2015-10","ABC Aerolineas SA de CV dba Interjet (International)","775","792,928","99,036","62,369","63%"
"2015-10","ABS JETS A.S (International)","1","112","13","7","54%"
"2015-10","ACM AIR CHARTER GmbH (International)","2","4,570","30","2","7%"
"2015-10","Acropolis Aviation Ltd. (International)","1","3,646","19","5","26%"
"2015-10","Aer Lingus Plc (International)","578","1,988,754","156,808","137,311","88%"
"2015-10","Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus","44","21,284","6,768","4,745","70%"
"2015-10","Aeroflot Russian Airlines (International)","214","1,108,296","73,598","61,647","84%"
"2015-10","Aerolineas Argentinas (International)","204","947,070","56,816","45,598","80%"
"2015-10","Aerolitoral (International)","781","636,719","67,413","48,190","71%"
"2015-10","Aeromexico (International)","1,852","2,984,841","301,898","235,794","78%"
"2015-10","Aerovias de Intergracian Regional (International)","62","93,372","14,722","11,823","80%"
"2015-10","Aerovias Nacl De Colombia (International)","883","1,560,442","133,054","104,637","79%"
"2015-10","Air Alsie A/S (International)","30","85,486","286","67","23%"
"2015-10","Air Berlin PLC and CO (International)","348","1,531,334","101,972","83,588","82%"
"2015-10","Air Busan (International)","36","64,512","5,832","3,447","59%"
"2015-10","Air Canada (International)","2,828","3,603,191","352,489","282,727","80%"
"2015-10","Air Canada rouge LP (International)","1,553","2,126,544","257,189","213,585","83%"
"2015-10","Air Charter, Inc d/b/a Air Flamenco (Domestic)","1,047","30,565","8,127","3,876","48%"
"2015-10","Air China (International)","628","3,837,672","156,800","113,500","72%"
"2015-10","Air Europa (International)","108","436,202","30,042","23,422","78%"
"2015-10","Air Excursions LLC (Domestic)","143","5,674","731","240","33%"
"2015-10","Air Georgian (International)","1,706","651,373","58,434","39,232","67%"
"2015-10","Air Japan Co (International)","62","236,778","13,268","11,828","89%"
"2015-10","Air New Zealand (International)","319","1,928,140","100,139","80,963","81%"
"2015-10","Air Pacific Ltd. (International)","88","404,024","20,198","16,696","83%"
"2015-10","Air Sunshine Inc. (Domestic)","248","20,398","2,232","368","16%"
"2015-10","Air Tahiti Nui (International)","131","601,020","38,514","34,405","89%"
"2015-10","Air Transat (International)","68","94,648","12,974","10,950","84%"
"2015-10","Air Transport International (Domestic)","440","358,931","264","0","0%"
"2015-10","Air Wisconsin Airlines Corp (Domestic)","13,726","4,943,475","686,200","552,425","81%"
"2015-10","Alaska Airlines Inc. (Domestic)","14,751","17,543,668","2,284,390","1,808,268","79%"
"2015-10","Alaska Airlines Inc. (Latin America)","792","955,632","129,061","103,723","80%"
"2015-10","Alaska Central Express (Domestic)","899","259,044","224","107","48%"
"2015-10","Albinati Aeronautics SA (International)","8","24,072","100","26","26%"
"2015-10","Alia-(The) Royal Jordanian (International)","106","637,340","26,500","15,479","58%"
"2015-10","Allegiant Air (Domestic)","5,267","4,795,269","891,351","748,732","84%"
"2015-10","All Nippon Airways Co. (International)","806","4,531,766","191,756","139,542","73%"
"2015-10","American Airlines Inc. (Atlantic)","3,486","14,315,617","828,924","664,430","80%"
"2015-10","American Airlines Inc. (Domestic)","78,039","77,994,651","11,972,971","10,435,663","87%"
"2015-10","American Airlines Inc. (Latin America)","9,766","15,219,427","1,631,628","1,304,995","80%"
"2015-10","American Airlines Inc. (Pacific)","676","4,539,632","164,991","139,133","84%"
"2015-10","Ameristar Air Cargo (Domestic)","129","121,288","1,509","571","38%"
"2015-10","Ameristar Air Cargo (International)","25","16,665","180","97","54%"
"2015-10","Arctic Transportation (Domestic)","1,416","118,668","2,222","199","9%"
"2015-10","Arik Air International (International)","26","136,500","5,642","3,036","54%"
"2015-10","Asiana Airlines Inc. (International)","856","3,894,728","155,225","132,689","85%"
"2015-10","Atlas Air Inc. (Domestic)","595","825,606","3,164","329","10%"
"2015-10","Atlas Air Inc. (International)","562","1,966,621","14,446","2,479","17%"
"2015-10","Austrian Airlines (International)","242","1,087,280","61,932","51,668","83%"
"2015-10","Avior Airlines, C.A. (International)","78","115,908","11,232","9,099","81%"
"2015-10","Avjet Corporation (Domestic)","202","186,100","2,164","509","24%"
"2015-10","Azerbaijan Airlines CJSC (International)","24","139,944","5,688","2,713","48%"
"2015-10","Azul Linhas Aereas Brazileiras S A (International)","136","559,350","36,259","30,249","83%"
"2015-10","Bahamasair Holding Limited (International)","502","94,564","49,600","32,866","66%"
"2015-10","Bering Air Inc. (Domestic)","2,705","232,950","24,349","11,011","45%"
"2015-10","Blue Jet SP Z o o (International)","6","27,644","56","13","23%"
"2015-10","Boutique Air (Domestic)","1,040","224,354","8,320","4,531","54%"
"2015-10","Britannia Airways Ltd. (International)","89","378,227","25,308","22,287","88%"
"2015-10","British Airways Plc (International)","2,671","11,022,650","742,120","652,078","88%"
"2015-10","Brussels Airlines N.V. (International)","96","359,682","26,912","23,409","87%"
"2015-10","Cape Air (Domestic)","9,812","1,013,197","98,569","57,512","58%"
"2015-10","Caribbean Airlines Limited (International)","680","1,118,460","108,874","69,990","64%"
"2015-10","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airli","247","130,015","38,285","20,357","53%"
"2015-10","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airli","125","90,866","19,375","956","5%"
"2015-10","CAT Aviation (International)","7","28,281","91","35","38%"
"2015-10","Cathay Pacific Airways Ltd. (International)","1,497","8,001,599","218,815","165,431","76%"
"2015-10","Cayman Airways Limited (International)","195","113,474","23,638","14,183","60%"
"2015-10","CFM Inc d/b/a Contour Airlines (Domestic)","177","28,899","3,363","1,459","43%"
"2015-10","Chartright Air Inc. (International)","70","49,187","599","269","45%"
"2015-10","China Airlines Ltd. (International)","713","3,416,190","104,739","80,922","77%"
"2015-10","China Eastern Airlines (International)","333","2,027,527","90,904","67,834","75%"
"2015-10","China Southern Airlines (International)","322","2,305,256","73,810","63,378","86%"
"2015-10","City Wings Inc dba Seaflight (Domestic)","292","13,140","2,628","1,806","69%"
"2015-10","Comlux Malta, Ltd. (International)","4","15,298","59","20","34%"
"2015-10","Commutair Aka Champlain Enterprises, Inc. (Domestic)","2,890","574,166","119,072","97,094","82%"
"2015-10","Compagnia Aerea Italiana (International)","436","2,006,838","113,514","97,549","86%"
"2015-10","Compagnie Aerienne Inter Regionale Express dba Air Anti","76","28,690","1,824","741","41%"
"2015-10","Compagnie Natl Air France (International)","1,133","4,679,570","364,642","324,828","89%"
"2015-09","40-Mile Air (Domestic)","80","8,182","317","54","17%"
"2015-09","ABC Aerolineas SA de CV dba Interjet (International)","752","769,446","95,700","67,282","70%"
"2015-09","ABS JETS A.S (International)","2","5,754","26","4","15%"
"2015-09","ACM AIR CHARTER GmbH (International)","12","32,234","128","20","16%"
"2015-09","Acropolis Aviation Ltd. (International)","2","7,693","38","16","42%"
"2015-09","Aer Lingus Plc (International)","572","1,974,782","154,762","140,782","91%"
"2015-09","Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus","79","54,511","11,692","8,150","70%"
"2015-09","Aeroflot Russian Airlines (International)","214","1,104,976","75,530","64,913","86%"
"2015-09","Aerolineas Argentinas (International)","196","910,744","53,788","44,379","83%"
"2015-09","Aerolitoral (International)","746","611,780","63,654","39,112","61%"
"2015-09","Aeromexico (International)","1,814","2,912,585","289,756","223,314","77%"
"2015-09","Aerovias de Intergracian Regional (International)","60","90,360","14,246","11,656","82%"
"2015-09","Aerovias Nacl De Colombia (International)","866","1,534,348","132,884","105,120","79%"
"2015-09","Air Alsie A/S (International)","16","45,429","162","36","22%"
"2015-09","Air Berlin PLC and CO (International)","364","1,599,645","107,277","86,297","80%"
"2015-09","Air Busan (International)","33","59,136","5,412","3,332","62%"
"2015-09","Air Canada (International)","2,877","3,835,230","355,980","282,739","79%"
"2015-09","Air Canada rouge LP (International)","1,562","2,132,996","239,369","191,433","80%"
"2015-09","Air Charter, Inc d/b/a Air Flamenco (Domestic)","1,080","31,799","9,720","3,965","41%"
"2015-09","Air China (International)","617","3,748,200","149,994","114,058","76%"
"2015-09","Air Europa (International)","126","507,484","35,008","26,619","76%"
"2015-09","Air Excursions LLC (Domestic)","166","6,643","918","348","38%"
"2015-09","Air Georgian (International)","1,702","634,934","57,018","36,567","64%"
"2015-09","Air Japan Co (International)","60","229,140","12,840","11,115","87%"
"2015-09","Air New Zealand (International)","310","1,867,464","97,815","84,783","87%"
"2015-09","Air Pacific Ltd. (International)","82","367,250","18,500","14,725","80%"
"2015-09","Air Sunshine Inc. (Domestic)","300","27,180","2,700","344","13%"
"2015-09","Air Tahiti Nui (International)","112","524,790","32,928","29,350","89%"
"2015-09","Air Transat (International)","56","80,248","10,896","8,523","78%"
"2015-09","Air Transport International (Domestic)","404","254,953","186","0","0%"
"2015-09","Air Wisconsin Airlines Corp (Domestic)","13,387","4,771,248","668,909","521,730","78%"
"2015-09","Alaska Airlines Inc. (Domestic)","14,531","17,032,380","2,253,294","1,782,819","79%"
"2015-09","Alaska Airlines Inc. (Latin America)","651","757,816","102,929","73,024","71%"
"2015-09","Alaska Central Express (Domestic)","877","255,432","944","438","46%"
"2015-09","Albinati Aeronautics SA (International)","6","19,152","64","44","69%"
"2015-09","Alia-(The) Royal Jordanian (International)","124","746,102","30,740","21,530","70%"
"2015-09","Allegiant Air (Domestic)","3,933","3,516,408","665,161","551,632","83%"
"2015-09","All Nippon Airways Co. (International)","780","4,385,580","185,056","140,350","76%"
"2015-09","American Airlines Inc. (Atlantic)","3,916","16,039,033","925,328","726,387","79%"
"2015-09","American Airlines Inc. (Domestic)","74,379","75,117,022","11,380,160","9,614,391","84%"
"2015-09","American Airlines Inc. (Latin America)","9,103","14,256,336","1,515,552","1,189,434","78%"
"2015-09","American Airlines Inc. (Pacific)","656","4,411,963","161,112","130,425","81%"
"2015-09","Arctic Transportation (Domestic)","1,248","107,551","2,718","122","4%"
"2015-09","Arik Air International (International)","24","126,000","5,208","2,760","53%"
"2015-09","Asiana Airlines Inc. (International)","793","3,688,265","153,016","120,059","78%"
"2015-09","Atlas Air Inc. (Domestic)","589","885,106","3,630","979","27%"
"2015-09","Atlas Air Inc. (International)","575","1,936,745","13,195","2,973","23%"
"2015-09","Austrian Airlines (International)","240","1,060,320","62,400","51,362","82%"
"2015-09","Avior Airlines, C.A. (International)","82","121,852","11,808","9,549","81%"
"2015-09","Avjet Corporation (Domestic)","137","177,150","1,463","487","33%"
"2015-09","Azerbaijan Airlines CJSC (International)","26","151,606","6,162","3,686","60%"
"2015-09","Azul Linhas Aereas Brazileiras S A (International)","138","567,072","36,846","30,240","82%"
"2015-09","Bahamasair Holding Limited (International)","506","95,712","49,380","29,080","59%"
"2015-09","Bering Air Inc. (Domestic)","2,852","278,264","25,267","9,558","38%"
"2015-09","Blue Jet SP Z o o (International)","7","19,440","60","27","45%"
"2015-09","Boutique Air (Domestic)","925","195,285","7,400","3,735","50%"
"2015-09","Britannia Airways Ltd. (International)","84","356,886","23,645","22,046","93%"
"2015-09","British Airways Plc (International)","2,505","10,433,598","704,867","619,132","88%"
"2015-09","Brussels Airlines N.V. (International)","97","364,024","27,166","24,175","89%"
"2015-09","Cape Air (Domestic)","11,391","1,122,589","111,721","63,990","57%"
"2015-09","Caribbean Airlines Limited (International)","660","1,087,146","105,526","73,577","70%"
"2015-09","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airli","120","91,870","18,600","814","4%"
"2015-09","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airli","240","111,252","37,200","18,648","50%"
"2015-09","CAT Aviation (International)","9","36,656","117","18","15%"
"2015-09","Cathay Pacific Airways Ltd. (International)","1,425","7,585,688","204,025","154,195","76%"
"2015-09","Cayman Airways Limited (International)","185","108,082","22,404","12,741","57%"
"2015-09","CFM Inc d/b/a Contour Airlines (Domestic)","193","29,286","3,876","1,902","49%"
"2015-09","Chartright Air Inc. (International)","76","67,138","546","246","45%"
"2015-09","China Airlines Ltd. (International)","710","3,381,871","102,318","74,915","73%"
"2015-09","China Eastern Airlines (International)","326","1,983,912","89,792","67,460","75%"
"2015-09","China Southern Airlines (International)","336","2,408,278","75,696","64,625","85%"
"2015-09","City Wings Inc dba Seaflight (Domestic)","272","12,240","2,448","1,713","70%"
"2015-09","Commutair Aka Champlain Enterprises, Inc. (Domestic)","2,992","580,160","121,962","99,401","82%"
"2015-09","Compagnia Aerea Italiana (International)","481","2,238,399","128,234","111,241","87%"
"2015-09","Compagnie Aerienne Inter Regionale Express dba Air Anti","48","18,120","1,152","372","32%"
"2015-09","Compagnie Natl Air France (International)","1,209","5,051,019","398,674","347,789","87%"
"2015-09","Compania Panamena (Copa) (International)","1,469","2,698,616","223,009","148,338","67%"
"2015-09","Compass Airlines (Domestic)","6,651","4,802,184","499,405","400,965","80%"
"2015-09","Compass Airlines (Latin America)","104","141,520","7,890","5,983","76%"
"2015-09","Concesionaria Vuela Compania De Aviacion SA de CV (Vola","1,207","1,745,547","206,726","151,985","74%"
"2015-08","40-Mile Air (Domestic)","60","5,486","231","47","20%"
"2015-08","ABC Aerolineas SA de CV dba Interjet (International)","786","801,682","100,344","73,164","73%"
"2015-08","ABS JETS A.S (International)","11","14,082","154","53","34%"
"2015-08","Acropolis Aviation Ltd. (International)","2","7,128","38","7","18%"
"2015-08","Aer Lingus Plc (International)","652","2,232,003","174,024","162,603","93%"
"2015-08","Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus","142","108,724","21,720","16,435","76%"
"2015-08","Aeroflot Russian Airlines (International)","230","1,182,724","80,884","70,078","87%"
"2015-08","Aerolineas Argentinas (International)","195","907,618","54,098","44,775","83%"
"2015-08","Aerolitoral (International)","932","731,300","76,188","56,965","75%"
"2015-08","Aeromexico (International)","2,176","3,458,458","343,552","294,617","86%"
"2015-08","Aerovias de Intergracian Regional (International)","62","93,372","14,739","12,943","88%"
"2015-08","Aerovias Nacl De Colombia (International)","912","1,624,830","145,022","121,384","84%"
"2015-08","Air Alsie A/S (International)","6","17,817","70","15","21%"
"2015-08","Air Berlin PLC and CO (International)","382","1,678,840","112,749","95,493","85%"
"2015-08","Air Busan (International)","36","64,512","5,898","4,725","80%"
"2015-08","Air Canada (International)","3,306","4,627,245","411,644","367,388","89%"
"2015-08","Air Canada rouge LP (International)","1,737","2,328,343","265,730","237,617","89%"
