"Year...Month","Carrier","Departures","Miles","Seats","Passengers","Seat.Utilization"
"2018-07","ABC Aerolineas SA de CV dba Interjet (International)","1,787","2,424,033","268,881","213,784","80%"
"2018-07","ABS JETS A.S (International)","3","5,811","42","22","52%"
"2018-07","ACM AIR CHARTER GmbH (International)","8","16,121","148","19","13%"
"2018-07","Acropolis Aviation Ltd. (International)","2","7,817","38","25","66%"
"2018-07","Aer Lingus Plc (International)","903","3,255,611","246,579","218,885","89%"
"2018-07","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways","238","69,191","11,900","7,924","67%"
"2018-07","Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus","206","261,536","37,080","31,362","85%"
"2018-07","Aeroflot Russian Airlines (International)","308","1,565,076","109,542","97,092","89%"
"2018-07","Aerolineas Argentinas (International)","186","873,828","50,459","40,454","80%"
"2018-07","Aerolitoral (International)","1,048","1,189,587","103,254","84,942","82%"
"2018-07","Aeromexico (International)","2,164","3,651,819","353,004","312,777","89%"
"2018-07","Aerovias de Intergracian Regional (International)","61","91,866","10,614","9,899","93%"
"2018-07","Aerovias Nacl De Colombia (International)","988","1,821,837","174,860","156,979","90%"
"2018-07","Air Alsie A/S (International)","20","59,452","264","53","20%"
"2018-07","Air Asia X Berhad dba Airasia X (International)","34","139,978","12,818","9,412","73%"
"2018-07","Air Busan (International)","44","78,848","8,514","7,407","87%"
"2018-07","Air Canada (International)","4,201","5,502,703","619,187","538,036","87%"
"2018-07","Air Canada rouge LP (International)","1,549","2,237,515","297,304","254,691","86%"
"2018-07","Air Charter, Inc d/b/a Air Flamenco (Domestic)","356","17,824","1,358","736","54%"
"2018-07","Air China (International)","778","4,627,207","193,082","150,653","78%"
"2018-07","Air Company Yakutia (International)","6","11,748","756","368","49%"
"2018-07","Air Europa (International)","132","528,558","39,282","32,814","84%"
"2018-07","Air Excursions LLC (Domestic)","408","20,188","3,379","1,769","52%"
"2018-07","Air Georgian (International)","3,399","1,361,832","148,094","119,018","80%"
"2018-07","Air Japan Co (International)","62","236,778","15,252","12,729","83%"
"2018-07","Air New Zealand (International)","392","2,371,473","124,182","104,391","84%"
"2018-07","Air Pacific Ltd. (International)","116","549,692","28,616","24,051","84%"
"2018-07","Air Serbia (International)","52","234,572","11,960","11,058","92%"
"2018-07","Air Sunshine Inc. (Domestic)","310","38,316","2,790","1,207","43%"
"2018-07","Air Tahiti Nui (International)","174","807,030","51,504","45,268","88%"
"2018-07","Air Transat (International)","50","59,710","9,458","8,511","90%"
"2018-07","Air Wisconsin Airlines Corp (Domestic)","8,600","3,187,369","430,000","354,091","82%"
"2018-07","Alaska Airlines Inc. (Domestic)","24,918","32,249,030","3,880,597","3,287,156","85%"
"2018-07","Alaska Airlines Inc. (Latin America)","1,162","1,540,281","189,880","175,900","93%"
